Id,Word,Transcription,Definition,Example
1,agree,əˈɡriː,To agree is to have the same opinion or belief as another person.,The students agree they have too much homework.
2,alcohol,ˈælkəhɔːl,Alcohol is a type of drink that can make people drunk.,A person should not drive a car after he or she has been drinking alcohol.
3,arrive,əˈraɪv,To arrive is to get somewhere.,They arrived at school at 7 a.m.
4,August,ɔ́ːgəst,August is the eighth month of the year.,Is your birthday in August?
5,boat,bəʊt,A boat is a vehicle that moves across water.,There is a small boat on the lake.
6,breakfast,ˈbrekfəst,Breakfast is the morning meal.,I ate eggs for breakfast.
7,camera,ˈkæmrə,A camera is a piece of equipment that takes pictures.,I brought my camera on my vacation.
8,capital,ˈkæpɪtl,A capital is a city where a country’s government is based.,"The capital of the United States is Washington, D.C."
9,catch,kætʃ,To catch is to grab or get something.,Did you catch the ball during the baseball game?
10,duck,dʌk,A duck is a small water bird.,People feed ducks at the lake.
11,enjoy,ɪnˈdʒɔɪ,To enjoy is to like something.,The woman enjoys riding her bicycle.
12,invite,ɪnˈvaɪt,To invite is to ask someone to come to a place or event.,I will invite my friends to my birthday party.
13,love,lʌv,To love is to like something or someone a lot.,I love my family very much.
14,month,mʌnθ,A month is one of 12 periods of time in one year.,January is the first month of the year.
15,travel,ˈtrævl,To travel is to go to a faraway place on vacation or business.,They will travel to Argentina this summer.
16,typical,ˈtɪpɪkl,"If something is typical, it is normal, or something that usually happens.",My typical breakfast is toast and eggs.
17,visit,ˈvɪzɪt,To visit is to go and spend time in another place or see another person.,She wants to visit her grandmother.
18,weather,ˈweðər,Weather is the temperature and the state of the outdoors.,Today’s weather is rainy and cloudy.
19,week,wiːk,A week is a period of time that is seven days long.,What are you doing next week?
20,wine,waɪn,Wine is an alcoholic drink made from grapes.,The store carried both red and white wine.
21,adventure,ədˈventʃər,An adventure is a fun or exciting thing that you do.,Riding in the rough water was an adventure.
22,approach,əˈprəʊtʃ,To approach something means to move close to it.,The boy approached his school.
23,carefully,ˈkerfəli,"Carefully means with great attention, especially to detail or safety.",The baby carefully climbed down the stairs.
24,chemical,ˈkemɪkl,A chemical is something that scientists use in chemistry.,The scientist mixed the chemicals.
25,create,kriˈeɪt,To create means to make something new.,She created an igloo from blocks of snow.
26,evil,ˈiːvɪl,"Evil describes something or someone bad or cruel, not good.","They felt a strange, evil presence as they got closer to the house."
27,experiment,ɪkˈsperɪmənt,An experiment is a test that you do to see what will happen.,The student did an experiment in science class.
28,kill,kɪl,To kill someone or something is to make them die.,I killed the fly.
29,laboratory,ˈlæbrətɔːri,A laboratory is a room where a scientist works.,My mother works in a laboratory.
30,laugh,læf,Laugh is the sound made when someone is happy or a funny thing occurs.,The sound of her laugh filled the room.
31,loud,laʊd,"If a sound is loud, it is strong and very easy to hear.",The man’s voice was so loud that we all could hear him.
32,nervous,ˈnɜːrvəs,"When a person is nervous, they think something bad will happen.",The boy became nervous when he heard the news.
33,noise,nɔɪz,A noise is an unpleasant sound.,The crying baby made a loud noise.
34,project,ˈprɑːdʒekt,A project is a type of work that you do for school or a job.,His afternoon work project was to paint the room green.
35,scare,sker,To scare someone is to make them feel afraid.,My uncle was scared by what he saw in the room.
36,secret,ˈsiːkrət,A secret is something that you do not tell other people.,The two boys were sharing a secret.
37,shout,ʃaʊt,To shout is to say something loudly.,My boss shouted at me because I was late for work.
38,smell,smel,To smell something means to use your nose to sense it.,The two friends smelled the flower.
39,terrible,ˈterəbl,"If something is terrible, it is very bad.",The way he treated his classmate was terrible.
40,worse,wɜːrs,"If something is worse, it is of poorer quality than another thing.",Business was worse this month than last month.
41,alien,ˈeɪliən,An alien is a creature from a different world.,The alien came in peace.
42,among,əˈmʌŋ,"If you are among certain things, they are all around you.",There was a red apple among the green ones.
43,chart,tʃɑːrt,A chart is a list of information.,We used a chart to see how we had improved.
44,cloud,klaʊd,A cloud is a group of water drops in the sky.,The sky was filled with white clouds.
45,describe,dɪˈskraɪb,To describe is to say or write what someone or something is like.,"They described their tree as colorful, with gold ribbon and a star."
46,ever,ˈevər,Ever means at any time.,Going skiing last winter was the most fun I’ve ever had.
47,fail,feɪl,To fail means you do not succeed in what you try to do.,"Since he failed to get the job, he was sad."
48,grade,ɡreɪd,A grade is a score or mark given to someone’s work.,I managed to get good grades on my report card.
49,instead,ɪnˈsted,Instead means in place of.,He ate the carrot instead of the ice cream.
